comment,sentiment
one worst shows time,negative
show would begin smart ass ed comments would totally wall uncalled,negative
fat computer geek unbelievable bible thumper badass girl actors,negative
never heard except cole totally unbelievable part,negative
every time opened mouth expect hear see kids pulling plug mercy killing horrible show,negative
stories unbelievable actors,negative
lame would best way describe,negative
stanwyck morgan perfectly cast many ways modern equivalent dickens christmas carol sensibility,positive
success film depends casting sydney greenstreet alexander yardley character,positive
attractive set used throughout film eyepleasing gem,positive
im big fan rpg games movie disgrace selfrespecting rpger,negative
lines cuts audio everything wrong,negative
find better movies youtube,negative
top line dont waste time money one bad comes,negative
lassie movie put sleep forever,negative
thats id describe painfully dreary timewaster film,negative
mediocre every aspect becomes dull uninteresting mess one forgettable movies ive seen,negative
isnt even achievement sobaditsgood sobaditsmemorable movie,negative
empty hollow shell movie,negative
seriously worth wasting kids time,negative
avoid avoid avoid,negative
drive barking mad,negative
transfers good,positive
nice relaxing late night viewing,positive
movie full wonderful dancing hence title,positive
great music terrific scenery,positive
handles tough issues dignity grace course shocking spoiler,positive
happy wonderful feel good ending,positive
point journey journey touches every member family,positive
one movies need see whenever comes tvnever mind fact already memorized,positive
nothing new,negative
done second movie,negative
movie almost action scenes little comedy,negative
plot holes pair fishnet stockings direction editing astonishingly ham fisted,negative
earth irons film,negative
saw film recommend,positive
good plot holds complete attention acting superb tom wilkinson fantastic emily watson also good,positive
good film indeed great unconditional love,positive
tom wilkinsons character man prepared ordeal begin takes matter hand story progresses great actor gives performance makes feel characters anguish suffering,positive
emily watsons character strong give quick glance understand everything,positive
despite pans reviewers liked movie,positive
fact liked better interview vampire liked lestat stuart townsend better cruises attempt,positive
aailiyah pretty good akasha places compelling first entrance mini dance scene,positive
im big fan series mostly due anne rices style sensitivities treatments,positive
guess liked details dysfunctionhe believable,positive
football scenes end perplexing,negative
thought acting skilled,positive
meredith better right,positive
charming film wonderful sentiment heart,positive
rare filmmaker takes time tell worthy moral tale care love doesnt fall trap overly syrupy indulgent,positive
nine ten truly lovely film,positive
early film future goremeister lucio fulci good addition giallo subgenre,positive
one best italian thrillers early 70s,positive
standout scene,positive
scene strong unpleasant,negative
technically film well made impressive camerawork solid acting effective music riz ortolani  particularly good recurring unaccompanied female vocal sounds like coming distant hill,positive
still wild stuff though highly recommended fans giallo cinema,positive
movie interesting beginning end,positive
liked way dustin hoffmans character ready everything stay son,positive
movie also revealing,positive
personally think shows people learn find compromise self without involving people issue,positive
boring,negative
tired clichés lazy writing come thick fast,negative
ps scene movie cool central character finds room blown,positive
fresh subtle rather sublime effect,positive
italian reviewer called small great film thats right,positive
actors give wonderful performance especially jennifer rubin jamie harris changes nervous starlet beginning strange events part cool star,positive
learn lot real inside emotions people movie lot movie business,positive
movie movie situations beginning game played acting coach fascinating,positive
also music mark snow possibly best score ive ever heard,positive
wont forget movie,positive
film made,negative
film ultracheap look,negative
result film dont look right,negative
none engaging exciting,negative
plot nonsense doesnt interest slightest way uniqueness,negative
foreigner worth one second time,negative
saw child tv back 1973 stranger loved,positive
duet astronaut doctor beginning movie perfect exchange one considers movie made well cold war astronauts biggest fear crashed ussr,positive
movie awesome,positive
loved really scary,positive
love scream movies horror movies one ranks way,positive
want real scare rent one,positive
1010,positive
extraordinary film,positive
courtroom drama compelling indictment american justice system frightening,positive
film highlights fundamental flaws legal process discovering guilt innocence rather presents better court,positive
film well paced understated one best courtroom documentaries ive seen,positive
mostly routine factbased tv drama gets boost fine performance cole,positive
predictable bad watch,positive
clear range ability pull part,positive
carries movie well,positive
constantine gives everything right intensity seems good understanding underlying psychological motivations,positive
wonderful inspiring watch hope gets released video dvd,positive
piece trash ever released beyond acting story characters supposedly special effects etcits wrong,negative
fact stinker smells like directtovideo release,negative
avoid costs,negative
star trek v final frontier worst series,negative
acting involved includes like shatner nimoy bad washed making seem old look real life special effects tacky like spock rescue kirk jet pack falls mountain,negative
attempts humor pitiful story awful dosent bear thinking basically involves vulcan stealing enterprise find god seriously didnt care film oh mention uhura belly dance distract male guards,negative
place good film garbage,negative
worst one series,negative
editing editing film phenomenal opinion,positive
song could explain emotions subjects better jay adams unfortunate life subject talk song old man neil young played evokes many emotions,positive
cinematography film shot interesting way,positive
course footage 70s grainy enhanced film,positive
film offers many delights surprises,positive
achille philippa beautifully sing duet giovanni perfectly describes situation movie appreciate subtle layers excellent film,positive
story unfolds 18th century jutland use period music played period instruments one fine touch,positive
share general loewenhielms exquisite joy partaking cailles en sarcophage even though watching movie wish small sample savor,positive
understated film leaves lasting impression,positive
warmth generates contrast austere backdrop,positive
leave theater wanting go dance stars,positive
acting youd expect cast top notch,positive
characters fleshed surprisingly well particularly grimes blake actors deliver sharply scripted lines right amount deadpan tongue cheek make dialogue hilarious realistic,positive
angus scrimm also turns good performance somewhat brief memorable role gently menacing violinplaying anatomist doctor quinn,positive
conclusion loved,positive
long time since entertained movie,positive
struggle find anything bad say,positive
mark words one cult films like evil dead 2 phantasm people still discovering falling love 20 30 40 years line,positive
pretty surprising wonderful film made 1949 hollywood generally collective heads sand concerning black white issues time,positive
film deserves strong kudos taking stand exceptional acting mostly lesserknown cast superintelligent script doesnt insult audience take easy way comes white racism,positive
plus movies rather modest budget fast running time amazing job,positive
juano hernandez exceptional actor played supporting roles many films era proud black man accused murdering white man south,positive
trumbull love lucy,positive
see kids chanceit open amazing dialog far race relations come last 50 years,positive
see films,positive
year however reminded us huston still top game evinced faithful adaptation james joyces acclaimed novella dead,positive
feelings thoughtsgabriels discomfort danceall intangibles leap life come within viewers grasp hustons portrayal,positive
disappointed wondered could oscar shortlist,negative
slow,negative
lot holes plot theres nothing became emperor nothing spend 20 years childhood mature age,negative
dont waste time,negative
end days one worst bigbudget action movies ive ever seen,negative
surely doesnt know make coherent action movie screenwriter air force one obliged write script big sum money,negative
one worst films ever seen,negative
im still trying get bad,negative
movie possibly one creative works horror ever,positive
everything could want suspense drama comedy confusing subplots native americans brain eating youre looking beall endall brainsucking movies look,positive
great sound effects impressive special effects cant recommend movie enough 1 call nut think one best movies ever 1 great character actors telly savalas peter boyle 1 1 hour 54 minutes sheer tedium melodrama horrible acting mess script sinking feeling good lord thinking 0 lots holes script 0 like bad two hour tv movie 0 imagine every single one decisions made wrong 0 dialogue atrocious 0 acting beyond abysmal 0 everything stinks 0 trouble writing directing make impossible establish things make movie watchable like character story theme 0 worse theres incredibly weak subplot thrown follows little band latterday mansonites go reporter whos working story anniversary killings 0 dumb pointless complete waste time 0 short dont bother movie 0 wont spoil ending pretty amazing 1 best scene movie end wont spoil 1 ever indication writer directors ability meld two highly volatile temperaments seamless union creativity 1 result powerhouse achievement made timely perhaps cultures disturbing fascination celebrity distorted interpretations fame 1 film easily forgotten 1 kevin spacey excellent verbal tsunami buddy ackerman  totally believable great actor 1 scripting subtle comedy unmatched movie recent years 1 characters interesting even bit predictable 1 highly recommended ages although younger set probably appreciate subtle references certainly appreciate one galley scene particular 1 great movie 1 also story acting weak 0 around 4 pm bought around 8pm started watch around 815pm fast forwarded remaining film see anything left watchable human brain wasnt 0 either way sucks 0 script horrendously stupid 0 story starts fast absolutely suspense buildup slightest 0 everything captain howdy says either laughable plain stupid 0 hell kind crap 0 theres plot holes 0 could drive semi truck holes 0 linda cardellini thing good film 1 shes poised amazing 1 dee snider plain sucks 0 cant act one least scary villains ever seen cant write write damn movie sleep 0 bored throughout whole damn thing 0 acting sucks music sucks script sucks pacing sucks special fx suck directing sucks basically movie sucks 0 film tries serious sophisticated thrillerhorror flick fails miserably 0 probably one least effective utterly unoriginal films ever seen entire life 0 piece cinematic garbage captured celluloid 0 avoid costs 0 rate film stinks funny fulci stayed giallo supernatural zombie movies 0 avoid film costs 0 dont know happened season five mess 0 consistent thread holding series together amazing performances leni parker anita laselva two taelons quiet idealogical conflict 0 movie really dislike 0 one boring horror movies 90s mainly starts slow centers boring atmosphere 0 puppets look really cheesy good way like puppet master 80s flicks 0 story lame interesting never really explains sinister origins puppets 0 arent death scenes like previous movies fx terrible 0 felt asleep first time watched recommend insomniacs 0 fact film wonderful heartwarming tale two people chasing dreams 1 best part nurse betty unpredictability,positive
director neil labute uses brutal violence seperate dreams reality along touching drama hilarious comedy never tell going happen next,positive
otherwise dont even waste time,negative
one fails create real suspense,negative
killer dont expect anything original even remotely frightening,negative
however pretty good acting least type film,positive
im sorry really cant recommend anyone,negative
one boringpointless movies ever seen,negative
secondary plot line incomprehensible relation primary plot line mystifying,negative
hated,negative
one worst sandra bullock movie since speed 2 quite bad,negative
dont understand garbage got shelves movie store even real movie,negative
highly doubt anyone could ever like trash,negative
moviemaking,negative
acting like watching wooden puppets moving around reading book thats bad,negative
warn youdo rent movie dumbest thing never seen,negative
saw short film hbo day absolutely loved,positive
didnt realize wonderful short really last two scenes,positive
excellent short film,positive
hopefully director james cox turn short feature length film cast win us whole new film,positive
agree jessica movie pretty bad,negative
characters onedimensional even good guys especially bad guys,negative
story line totally predictable,negative
much dialogue much music whole film shot elaborately aesthetically like sculpture,positive
ive seen soap operas intelligent movie,negative
bad characters bad story bad acting,negative
really awful,negative
easy watch,negative
funny clever hip like prays previous film hype,positive
long time didnt see charismatic actor screen,positive
paolo sorrentino written wonderful story loneliness tony built one unforgettable characters seen movies recent years,positive
movie completely perfect titta di girolamo stay long time vision movie,positive
rate movie 910,positive
know emilio estevezs directorial debut pacing interplay development characters well clever camera work surrounding character estevez plays suggest natural eye,positive
interplay martin emilio contains wonderful chemistry saw wall street martin charlie,positive
kathy bates wonderful characters subtle desperation escapism variation character play fields lord,positive
readers already seen one miyazakis films still top form made another worthwhile experience,positive
never condescends characters good genuine hearts believable problems,positive
two main characters may two believable children ever saw put screen,positive
easy love even easy identify,positive
movie greatespecially enjoy visual arts,positive
scenery two daughters paint photograph beautiful,positive
story also funny poignant times,positive
people like european films art movies like movie,positive
truly art movieit actually lot art,positive
go rent,positive
however finally watching film realized closed mind brilliance depicts also found watching,positive
one movie never ceases interest simply keeps alert try attempt decipher meanings,positive
brilliance indeed,positive
liked movies like matrix better yet sequels think youll appreciate thought provoking mindblowing experience film give,positive
think film like dream,positive
simply beautiful,positive
rickman stowe play roles hilt tale childrens book writer maybe written subversive tract,positive
gloriously fun fast paced fairly accurate portrayal night raver,positive
presents idyllic yet serious portrayal ups downs characters lives,positive
whatever avoid groove antithesis good human traffic,negative
bad everyone else involved didnt share crowes level dedication quality wed far better film hands subpar mess,negative
movie seemed little slow first,negative
picked speed got right point,positive
showed exactly government scientist argued humanity reasons gadget,positive
enjoyed,positive
recommended friends,positive
particularly pleased acting ability dwight schultz,positive
actors truly understand become particular character delivering convincing sincere performance,positive
onscreen chemistry critical entire film genuine,positive
films dialogue natural real life,positive
writer gorman bechard undoubtedly homework references industry characterage appropriate,positive
incredible soundtrack truly captures essence film,positive
track commands sentiment actually contributing scenes characters,positive
definitely worth seeing sort thought provoking film forces question threshold loneliness,positive
hayao miyazakis latest eighth film studio ghibili gake ue ponyo ponyo cliff sea wonderfully fun imaginative look childhood,positive
time seems film animation dominated disneypixars cgi masterpieces refreshing comforting know miyazaki still relying traditional handdrawn animation tell charming enchanting stories,positive
enough said remarkable animation film,positive
art style appearance crayonpencil drawings wonderfully colorful fanciful,positive
act film glad youre gonna drift away earth far possible,negative
one wants surf small wave space movies 1998 deep impact armageddon one fails everywhere,negative
havent choked vomit end cheap drama worthless dialogue youve must bored death waste time,negative
still makes super ending depicts great sea vessel taken mighty frost,positive
consider excellent story solid acting look film added bonuses,positive
instead got bore fest whiny spoiled brat babysitting,negative
watched two sundays ago march 20th 2005 began really enjoy time taped entire thing,positive
well acted done tv movie,positive
judith light one favorite actresses think superb job film,positive
keep watching,positive
sad movie good,positive
seen movie definitely recommend,positive
lovely usual cutie,positive
still quite interesting entertaining follow,positive
recommend confidence,positive
movie wellbalanced comedy drama thoroughly enjoyed,positive
riot see hugo weaving play sexobsessed gay real estate salesman uses clients houses trysts flaming darren tom hollander,positive
anyway plot flowed smoothly malebonding scenes hoot,positive
opening sequence gem classic cat n mouse games follow delight watch,positive
fans genre heaven,positive
lange become great actress,positive
looked like wonderful story,positive
never walked movie faster,negative
got bored watching jessice lange take clothes,negative
unfortunately virtue films production work lost regrettable script,negative
word embarrassing,negative
exceptionally bad,negative
insult ones intelligence huge waste money,negative
